0	0
5000	2
10000	3
15000	6
20000	8
25000	6
30000	1
35000	1
40000	10
45000	1
50000	1
55000	2
60000	1
65000	1
70000	4
75000	2
80000	3
85000	3
90000	3
95000	3
100000	4
105000	4
110000	4
115000	5
120000	5
125000	10
130000	6
135000	6
140000	12
145000	7
150000	10
155000	14
160000	10
165000	11
170000	9
175000	9
180000	10
185000	14
190000	11
195000	11
200000	12
205000	15
210000	17
215000	32
220000	14
225000	20
230000	23
235000	18
240000	23
245000	19
250000	25
255000	24
260000	23
265000	25
270000	26
275000	23
280000	23
285000	24
290000	25
295000	29
300000	27
305000	28
310000	48
315000	30
320000	31
325000	34
330000	30
335000	34
340000	31
345000	33
350000	35
355000	37
360000	34
365000	43
370000	41
375000	40
380000	43
385000	37
390000	40
395000	40
400000	38
405000	36
410000	37
415000	38
420000	40
425000	41
430000	42
435000	49
440000	46
445000	49
450000	49
455000	60
460000	63
465000	66
470000	74
475000	83
480000	70
485000	74
490000	77
495000	79
500000	72
505000	81
510000	77
515000	204
520000	140
525000	153
530000	146
535000	156
540000	104
545000	126
550000	95
555000	117
560000	69
565000	78
570000	73
575000	84
580000	81
585000	81
590000	86
595000	88
600000	83
605000	92
610000	80
615000	81
620000	81
625000	86
630000	83
635000	88
640000	117
645000	111
650000	89
655000	95
660000	125
665000	139
670000	111
675000	119
680000	124
685000	130
690000	129
695000	216
700000	329
705000	247
710000	274
715000	209
720000	256
725000	151
730000	136
735000	136
740000	175
745000	169
750000	227
755000	191
760000	245
765000	204
770000	165
775000	165
780000	150
785000	147
790000	178
795000	180
800000	184
805000	159
810000	155
815000	162
820000	200
825000	381
830000	273
835000	269
840000	201
845000	169
850000	170
855000	172
860000	162
865000	417
870000	381
875000	284
880000	260
885000	180
890000	177
895000	183
900000	198
905000	195
910000	197
915000	204
920000	207
925000	191
930000	190
935000	219
940000	206
945000	218
950000	279
955000	242
960000	251
965000	238
970000	428
975000	367
980000	446
985000	288
990000	241
995000	256
